Feature_ID,ENumLab,Feature,Value,Source,Comment
GB091,17,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,Holton et al. 2012: 258-260,
GB092,17,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,Holton et al. 2012: 258-260,
GB093,18,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,0,Holton et al. 2012: 258-260,
GB094,14,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,Holton et al. 2012: 258-260,
GB095,14,Are variations in marking strategies of core participants based on TAM distinctions?,0,Holton et al. 2012: 263-307,
GB096,14,Are variations in marking strategies of core participants based on verb classes?,0,Holton et al. 2012: 140-166,
GB098,14,Are variations in marking strategies of core participants based on person distinctions?,0,Holton et al. 2012: 140-166,
GB099,14,Can verb stems alter according to the person of a core participant?,0,Holton et al. 2012: 140-166,
GB103,14,Is there a benefactive applicative marker on the verb (including indexing)?,0,Holton et al. 2012: 134,
GB104,14,Is there an instrumental applicative marker on the verb (including indexing)?,0,Holton et al. 2012: 134,
GB105,14,Can the recipient in a ditransitive construction be marked like the monotransitive patient?,0,Holton et al. 2012: 526-527,
GB109,14,Is there verb suppletion for participant number?,0,Holton et al. 2012: 136-137,
GB110,14,Is there verb suppletion for tense or aspect?,0,Holton et al. 2012: 129-132,
GB111,15,Are there conjugation classes?,1,Holton et al. 2012: 140-169,
GB113,15,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,0,Holton et al. 2012: 245-248,
GB114,10,Is there a phonologically bound reflexive marker on the verb?,1,Holton et al. 2012: 579-583,
GB115,25,Is there a phonologically bound reciprocal marker on the verb?,1,Holton et al. 2012: 583-586,
GB117,16,Is there a copula for predicate nominals?,1,Holton et al. 2012: 310-312,
GB118,14,Are there serial verb constructions?,0,Holton et al. 2012: 226-233,Some specific verb pairs can be serialized
GB119,14,"Can mood be marked by an inflecting word (""auxiliary verb"")?",0,Holton et al. 2012: 263-2759,auxiliary words
GB120,13,"Can aspect be marked by an inflecting word (""auxiliary verb"")?",0,Holton et al. 2012: 284-286,
GB121,14,"Can tense be marked by an inflecting word (""auxiliary verb"")?",1,Holton et al. 2012: 142-143,
GB122,15,Is verb compounding a regular process?,0,Holton et al. 2012: 226-233,
GB123,15,Are there verb-adjunct (aka light-verb) constructions?,0,Holton et al. 2012: 302-306,
GB124,24,Is incorporation of nouns into verbs a productive intransitivizing process?,0,Holton et al. 2012: 226-233,
GB126,20,Is there an existential verb?,1,Holton et al. 2012: 170-171,
GB130,22,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,Holton et al. 2012: 245-248,
GB131,19,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,Holton et al. 2012: 543 -550,Some examples exist but probably not pragmatically unmarked
GB132,19,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,1,Holton et al. 2012: 543 -550,
GB133,19,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,0,Holton et al. 2012: 543 -550,
GB134,13,Is the order of constituents the same in main and subordinate clauses?,1,Holton et al. 2012: 531-532,
GB135,19,Do clausal objects usually occur in the same position as nominal objects?,1,Holton et al. 2012: 531-532,
GB136,21,Is the order of core argument (i.e. S/A/P) constituents fixed?,0,Holton et al. 2012: 258-260,free order
GB137,20,Can standard negation be marked clause-finally?,0,Holton et al. 2012: 509-515,
GB138,24,Can standard negation be marked clause-initially?,1,Holton et al. 2012: 509-515,Pro- drop. Only when the subject is missing.
GB139,13,Is there a difference between imperative (prohibitive) and declarative negation constructions?,1,Holton et al. 2012: 509-515,imperative = min declarative = den
GB146,21,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,0,Holton et al. 2012: 310-314,
GB147,22,Is there a morphological passive marked on the lexical verb?,1,Holton et al. 2012: 145-149,
GB148,22,Is there a morphological antipassive marked on the lexical verb?,0,Holton et al. 2012: 276-280,
GB151,22,"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?",0,Holton et al. 2012: 530-532,
GB152,29,Is there a morphologically marked distinction between simultaneous and sequential clauses?,1,Holton et al. 2012: 558-559,
GB155,26,Are causatives formed by affixes or clitics on verbs?,0,Holton et al. 2012: 280-284,
GB156,26,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?,0,Holton et al. 2012: 547,
GB158,25,Are verbs reduplicated?,1,Holton et al. 2012: 191-192,Only participles at passive voice ex. endedigmenos
GB160,25,Are elements apart from verbs or nouns reduplicated?,0,Holton et al. 2012: 191-192,
GB165,25,Is there productive morphological trial marking on nouns?,0,Holton et al. 2012: 54-85,
GB166,24,Is there productive morphological paucal marking on nouns?,0,Holton et al. 2012: 54-85,
GB167,24,Is there a logophoric pronoun?,0,Holton et al. 2012: 402,
GB170,15,Can an adnominal property word agree with the noun in gender/noun class?,1,Holton et al. 2012: 86-106,
GB171,15,Can an adnominal demonstrative agree with the noun in gender/noun class?,1,Holton et al. 2012: 400-403,
GB172,16,Can an article agree with the noun in gender/noun class?,1,Holton et al. 2012: 52-53,
GB184,26,Can an adnominal property word agree with the noun in number?,1,Holton et al. 2012: 86-106,
GB185,16,Can an adnominal demonstrative agree with the noun in number?,1,Holton et al. 2012: 400-403,
GB186,16,Can an article agree with the noun in number?,1,Holton et al. 2012: 52-53,
GB187,15,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,1,Holton et al. 2012: 216-217,
GB188,27,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,1,Holton et al. 2012: 217,
GB192,13,Is there a gender system where a noun's phonological properties are a factor in class assignment?,1,Holton et al. 2012: 54-85,
GB193,11,What is the order of adnominal property word and noun?,1,Holton et al. 2012: 86-105,The order is opposite when you want to give emphasis
GB196,3,Is there a male/female distinction in 2nd person independent pronouns?,0,Holton et al. 2012: 112-121,
GB197,9,Is there a male/female distinction in 1st person independent pronouns?,0,Holton et al. 2012: 112-121,
GB198,9,Can an adnominal numeral agree with the noun in gender/noun class?,1,Holton et al. 2012: 122-127,
GB203,6,What is the order of the adnominal collective universal quantifier ('all') and the noun?,1,Holton et al. 2012: 396-399,The order is opposite when you want to give emphasis
GB204,3,Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,1,Holton et al. 2012: 393,
GB250,4,Can predicative possession be expressed with a transitive 'habeo' verb?,1,Holton et al. 2012: 112,Habeo is transitive
GB252,4,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,0,Holton et al. 2012: 112,
GB253,16,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,0,Holton et al. 2012: 112,
GB254,3,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,0,Holton et al. 2012: 112,
GB256,2,Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?,0,Holton et al. 2012: 112,
GB257,1,Can polar interrogation be marked by intonation only?,1,Holton et al. 2012: 503-504,
GB260,11,Can polar interrogation be indicated by a special word order?,0,Holton et al. 2012: 503-504,It's like affirmative. You can just change the intonation or put a clause-initial interrogative particle
GB266,11,Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?,1,Holton et al. 2012: 104,apo
GB270,4,Can comparatives be expressed using two conjoined clauses?,0,Holton et al. 2012: 103-106,
GB273,3,Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?,0,Holton et al. 2012: 103-106,
GB275,6,Is there a bound comparative degree marker on the property word in a comparative construction?,1,Holton et al. 2012: 103-106,
GB276,6,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,1,Holton et al. 2012: 103-104,
GB285,4,Can polar interrogation be marked by a question particle and verbal morphology?,0,Holton et al. 2012: 503-504,It's like affirmative. You can just change the intonation or put a clause-initial interrogative particle
GB286,5,Can polar interrogation be indicated by overt verbal morphology only?,0,Holton et al. 2012: 503-504,The intonation must be changed
GB291,5,Can polar interrogation be marked by tone?,0,Holton et al. 2012: 503-504,
GB301,8,Is there an inclusory construction?,1,Holton et al. 2012,It is possible to use a 1ppl verb with a 2ppl subject without an overt 1ppl pronoun
GB302,8,"Is there a phonologically free passive marker (""particle"" or ""auxiliary"")?",1,Holton et al. 2012: 147,
GB303,8,"Is there a phonologically free antipassive marker (""particle"" or ""auxiliary"")?",0,Holton et al. 2012: 280-284,
GB304,8,Can the agent be expressed overtly in a passive clause?,1,Holton et al. 2012: 280-284,By apo and accusative case
GB305,8,Is there a phonologically independent reflexive pronoun?,1,Holton et al. 2012: 580-583,
GB306,32,Is there a phonologically independent non-bipartite reciprocal pronoun?,1,Holton et al. 2012: 583-586,
GB312,32,Is there overt morphological marking on the verb dedicated to mood?,1,Holton et al. 2012: 263-266,Subjunctive
GB313,32,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,1,Holton et al. 2012: 339-340,
GB314,32,Can augmentative meaning be expressed productively by a shift of gender/noun class?,0,Holton et al. 2012: 103-106,Though the augmentative suffixes govern a specific gender
GB315,32,Can diminutive meaning be expressed productively by a shift of gender/noun class?,0,Holton et al. 2012: 103-106,Though the diminitive suffixes govern a specific gender
GB316,34,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Holton et al. 2012: 54-85,Singular is marked by suffix
GB317,34,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Holton et al. 2012: 54-85,Dual number doesn't exist in modern Greek
GB318,34,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Holton et al. 2012: 54-85,Plural is marked by suffix
GB319,34,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Holton et al. 2012: 54-85,
GB320,3,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Holton et al. 2012: 54-83,
GB321,3,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,1,Holton et al. 2012: 54-83,
GB322,32,Is there grammatical marking of direct evidence (perceived with the senses)?,0,Holton et al. 2012,There are synonyms for a specific meaning
GB325,32,Is there a count/mass distinction in interrogative quantifiers?,0,Holton et al. 2012: 409-412,
GB326,32,Do (nominal) content interrogatives normally or frequently occur in situ?,0,Holton et al. 2012: 409-412,ex. indirect speech
GB327,35,Can the relative clause follow the noun?,1,Holton et al. 2012: 532-540,
GB328,32,Can the relative clause precede the noun?,0,Holton et al. 2012: 532-540,
GB329,25,Are there internally-headed relative clauses?,0,Holton et al. 2012: 532-540,
GB330,25,Are there correlative relative clauses?,1,Holton et al. 2012: 403,
GB331,13,Are there non-adjacent relative clauses?,1,Holton et al. 2012: 537-540,
GB333,12,Is there a decimal numeral system?,1,Holton et al. 2012: 122-124,
GB334,31,Is there synchronic evidence for any element of a quinary numeral system?,0,Holton et al. 2012: 122-124,
GB335,31,Is there synchronic evidence for any element of a vigesimal numeral system?,0,Holton et al. 2012: 122-124,
GB336,31,Is there a body-part tallying system?,0,Holton et al. 2012: 122-124,
GB401,6,Is there a class of patient-labile verbs?,0,Holton et al. 2012,John ate too much. John ate a salad.
GB408,6,Is there any accusative alignment of flagging?,1,Holton et al. 2012: 245-249,
GB409,17,Is there any ergative alignment of flagging?,0,Holton et al. 2012: 245-249,
GB410,18,Is there any neutral alignment of flagging?,0,Holton et al. 2012: 245-249,
GB415,7,Is there a politeness distinction in 2nd person forms?,1,Holton et al. 2012: 113,
GB422,4,Is there a postposed complementizer in complements of verbs of thinking and/or knowing?,0,Holton et al. 2012: 543-553,
GB430,4,Can adnominal possession be marked by a prefix on the possessor?,0,Holton et al. 2012: 112-117,
GB431,12,Can adnominal possession be marked by a prefix on the possessed noun?,0,Holton et al. 2012: 112-117,
GB432,12,Can adnominal possession be marked by a suffix on the possessor?,1,Holton et al. 2012: 112-117,geniki ktitiki
GB433,12,Can adnominal possession be marked by a suffix on the possessed noun?,0,Holton et al. 2012: 112-117,
GB519,12,"Can mood be marked by a non-inflecting word (""auxiliary particle"")?",0,Holton et al. 2012: 263-265,
GB520,12,"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?",0,Holton et al. 2012: 130-132,
GB521,4,"Can tense be marked by a non-inflecting word (""auxiliary particle"")?",1,Holton et al. 2012: 297-299,
GB522,28,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?",1,Holton et al. 2012: 332-334,examples: efaga (I ate)
,28,,,,
,33,,,,
,33,,,,
,33,,,,
,29,,,,
,29,,,,
,29,,,,
,29,,,,
,29,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,27,,,,
,13,,,,
,13,,,,
,13,,,,
,10,,,,
,10,,,,
,10,,,,
,6,,,,
,27,,,,
,27,,,,
,7,,,,
,7,,,,
,7,,,,
,7,,,,
,30,,,,
,30,,,,
,30,,,,
,6,,,,
